"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2012.02",263.9,372.6,200.5,570.6,635.0,443.6,853.5,494.2,504.5,265.2,215.3,267.3,180.5,243.9,244.0,-,310.6,153.8,182.3,188.6,171.4,143.6,144.9,225.1,190.0
"2012.03",262.9,367.8,197.7,564.7,663.4,443.2,854.5,481.1,507.5,256.8,213.2,263.7,177.6,238.1,240.3,-,305.2,148.6,179.0,184.9,165.6,142.9,141.9,226.3,202.9
"2012.04",264.2,373.3,198.8,583.4,654.1,438.5,894.8,491.3,484.7,259.8,214.4,261.9,179.1,231.1,242.2,-,303.7,148.9,179.9,187.2,164.6,140.4,143.2,222.9,189.1
"2012.05",270.2,380.1,200.2,592.9,675.3,432.0,869.5,519.2,510.4,255.2,218.4,260.7,181.2,236.4,245.9,181.1,308.4,152.0,186.9,186.4,166.8,138.9,142.5,223.9,203.3
"2012.06",257.1,359.6,199.0,557.2,642.1,420.7,852.2,499.2,479.3,259.4,220.0,258.4,179.8,230.6,244.2,169.7,300.1,152.2,183.7,186.6,166.0,141.4,147.7,212.0,202.5
"2012.07",251.1,349.8,196.2,548.9,625.0,418.2,847.1,491.8,478.2,256.4,218.8,254.2,179.3,225.9,246.0,168.4,294.3,146.3,181.9,187.7,161.4,142.5,147.8,209.8,192.8
"2012.08",254.7,347.1,198.3,534.8,620.2,417.7,792.4,473.3,472.5,256.0,223.2,255.0,181.8,228.1,246.4,166.6,292.6,148.4,181.2,188.9,164.2,143.1,149.9,218.3,197.2
"2012.09",270.4,365.3,204.0,563.4,622.0,423.0,839.7,474.7,481.2,256.6,227.6,256.7,188.4,235.7,245.2,178.3,304.6,152.2,189.4,192.1,168.0,147.2,154.8,222.3,200.0
"2012.10",277.6,379.8,207.6,571.5,653.3,426.7,844.2,480.0,491.9,261.3,228.1,257.3,187.0,242.7,252.1,185.7,313.0,151.8,189.9,194.4,169.5,146.7,155.3,225.8,209.3
"2012.11",274.1,379.9,206.6,574.1,648.5,427.9,846.0,486.5,479.7,259.8,231.3,260.8,188.1,241.8,245.7,181.7,309.9,150.9,188.6,196.2,169.8,148.0,156.1,220.5,208.4
"2012.12",271.1,379.8,202.9,575.4,652.9,424.7,840.1,489.2,492.0,255.5,231.0,257.9,186.2,242.6,255.0,178.9,310.9,150.1,186.8,190.3,164.3,138.5,155.6,219.6,182.9
"2013.01",274.4,379.0,207.7,577.3,626.0,422.7,844.2,484.7,494.2,258.8,231.8,258.3,188.0,237.1,247.6,177.8,308.4,151.4,197.4,199.3,175.2,150.0,160.0,227.0,194.4
"2013.02",278.0,382.3,206.2,578.4,652.3,429.9,840.8,503.1,478.3,256.1,231.2,257.4,189.0,238.1,244.1,184.3,310.2,153.6,190.4,195.2,172.0,146.0,159.8,224.1,193.3
"2013.03",284.5,379.2,209.5,563.3,619.6,431.2,829.0,486.4,489.4,259.8,231.1,260.1,189.3,237.7,248.7,182.5,315.2,154.9,192.4,195.4,171.5,146.6,159.7,228.0,193.5
"2013.04",288.8,381.7,214.4,567.9,595.9,430.4,869.8,491.2,488.3,264.1,238.3,259.9,189.0,238.0,254.8,182.2,321.7,153.6,193.8,198.6,171.4,149.3,162.8,235.3,198.2
"2013.05",283.6,373.3,214.1,553.7,617.3,433.9,821.8,504.4,491.2,262.0,241.2,260.2,189.2,244.0,245.8,185.5,314.8,155.4,195.9,199.8,171.1,150.1,166.2,231.1,220.0
"2013.06",273.3,366.8,209.6,546.2,633.1,434.2,813.2,494.2,472.9,259.0,242.4,260.1,189.3,242.7,246.3,178.3,312.2,152.9,187.2,196.6,170.1,146.0,162.9,224.9,218.0
"2013.07",271.8,352.4,211.3,507.8,610.3,425.3,770.9,480.7,464.2,260.5,242.7,264.1,193.7,238.0,247.8,171.0,309.3,155.8,197.4,201.4,171.9,144.8,165.4,224.1,213.4
"2013.08",294.4,369.8,215.7,533.8,634.4,431.7,834.8,488.2,470.6,264.8,251.5,264.4,195.6,243.0,251.0,178.9,323.9,156.7,196.0,205.7,172.0,146.1,169.2,233.9,204.9
"2013.09",304.7,377.3,222.9,534.9,624.6,437.5,800.3,499.8,482.6,264.2,257.8,267.1,193.9,248.2,259.3,195.1,331.8,161.9,201.8,210.0,175.6,150.7,171.7,242.6,220.2
"2013.10",297.3,379.6,225.1,546.5,625.7,447.1,808.7,499.8,489.1,268.7,260.0,269.7,200.0,252.6,258.4,192.8,329.6,163.5,201.4,211.0,178.4,151.2,175.2,243.4,224.3
"2013.11",293.6,390.1,225.1,569.3,663.0,445.3,849.8,496.5,490.6,270.1,267.3,272.2,200.6,253.5,259.5,192.7,330.0,161.2,201.5,219.1,177.5,149.8,176.4,238.6,224.5
"2013.12",307.8,410.5,224.0,603.9,665.8,454.7,886.4,503.5,494.6,269.7,265.8,274.8,204.6,256.5,255.6,215.8,340.0,161.6,202.0,211.3,174.6,148.5,175.6,243.4,223.5
"2014.01",316.2,409.0,225.2,588.9,658.9,459.5,864.3,505.1,501.0,274.1,269.9,274.1,203.0,253.6,258.8,204.7,343.7,164.4,205.2,213.4,182.5,148.8,175.5,239.6,223.2
"2014.02",314.1,401.6,225.4,576.6,653.0,456.6,838.9,519.8,504.7,271.8,266.3,272.2,205.4,247.7,261.8,193.1,338.4,164.6,204.3,213.7,175.4,151.5,177.0,243.8,221.9
"2014.03",298.9,382.0,226.8,548.8,640.4,453.2,806.6,495.3,486.8,274.9,269.8,269.7,203.5,248.2,264.3,193.2,328.5,156.8,207.2,209.1,172.9,148.3,175.0,246.2,223.9
